,Book Name,Description,Author,Number of Reviews,Rating,Price,Listening_Time_Minutes,Rank,Genre
0,think like a monk the secret of how to harness the power of positivity and be happy now,over the past three year jay shetty ha become one of the world s most popular influencers one of his clip wa the most watched video on facebook last year with more than million view his social medium following total more than million he ha produced more than viral video which have amassed more than five billion view and his podcast on purpose is consistently ranked the world s number one health related podcast,jay shetty,371.0,4.9,10080.0,654,1,personal success stress management society culture book
1,ikigai the japanese secret to a long and happy life,brought to you by penguin,héctor garcía,3682.0,4.6,615.0,203,2,meditation audible audiobooks original self esteem personal success
2,the subtle art of not giving a f ck a counterintuitive approach to living a good life,in this generation defining self help guide a superstar blogger cut through the crap to show u how to stop trying to be positive all the time so that we can truly become better happier people,mark manson,20306.0,4.4,10378.0,317,3,personal success personal development self help
3,atomic habit an easy and proven way to build good habit and break bad one,brought to you by penguin,james clear,4678.0,4.6,888.0,335,5,psychology audible audiobooks original stress management personal success
4,life s amazing secret how to find balance and purpose in your life,stop going through life start growing through life,gaur gopal das,4308.0,4.6,1005.0,385,6,literary essay essay book spiritualism
5,sapiens,fire gave u power farming made u hungry for more money gave u purpose science made u deadly,yuval noah harari,20163.0,4.6,1093.0,918,4,anthropology audible audiobooks original history of civilization anthropology book
6,sapiens,fire gave u power farming made u hungry for more money gave u purpose science made u deadly,yuval noah harari,20163.0,4.6,1171.0,918,4,anthropology audible audiobooks original history of civilization anthropology book
7,extraordinary leadership,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,robin sharma,179.0,4.1,0.0,66,1,business career
8,the intelligent investor rev ed,the classic text annotated to update graham s timeless wisdom for today s market condition,benjamin graham,9339.0,4.4,18290.0,1068,7,personal finance investing trading analysis strategy
9,rich dad poor dad what the rich teach their kid about money that the poor and middle class do not,rich dad poor dad will,robert t. kiyosaki,22123.0,4.5,837.0,369,9,personal finance investing trading personal development self help
10,the am club own your morning elevate your life,legendary leadership and elite performance expert robin sharma introduced the am club concept over year ago based on a revolutionary morning routine that ha helped his client maximise their productivity activate their best health and bulletproof their serenity in this age of overwhelming complexity,robin sharma,5116.0,4.4,8735.0,664,8,sleep disorder personal success healthy living wellness
11,influence the psychology of persuasion,influence the classic book on persuasion explains the psychology of why people say yes and how to apply these understanding,robert b. cialdini,3795.0,4.4,12356.0,606,11,consumer behaviour marketing audible audiobooks original earth science book
12,dream with your eye open an entrepreneurial journey,utv founder and pioneer of the medium industry ronnie screwvala is one of india s most successful first generation entrepreneur an avid philanthropist he ha penned dream with your eye open an entrepreneurial journey a one of the most inspiring entrepreneurial self help book pictured relaxed and content on the cover page of the book screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same,ronnie screwvala,43.0,3.6,0.0,439,2,small business business management
13,the sandman,please note this content is not for kid it is for mature audience only just like the original graphic novel this audio adaptation contains explicit language and graphic violence a well a strong sexual content and theme discretion is advised,neil gaiman,1.0,5.0,1171.0,654,16,epic fantasy dark fantasy fantasy book
14,how to win friend and influence people,how to win friend and influence people is a self help book which is the pioneer of this genre written by dale carnegie and published in it ha sold over million copy it ha been edited and re printed several time,dale carnegie,21000.0,4.5,668.0,485,18,communication social skill personal development self help
15,the alchemist a fable about following your dream,by completing your purchase you agree to audible s condition of use amazon s privacy notice and if applicable audible s recurring payment term,paulo coelho,28237.0,4.6,10378.0,240,10,metaphysical visionary fiction literary fiction crime
16,thinking fast and slow,brought to you by penguin,daniel kahneman,9865.0,4.4,1093.0,1201,13,business decision making problem solving psychology audible audiobooks original personal success
17,just do it the nike spirit in the corporate world,the protagonist of just do it is phil knight a reclusive billionaire who started a two man operation importing japanese running shoe and built it into a billion company irreverent unpredictable and leery of the sport establishment knight created the most muscular jock culture in business a place where employee routinely took two hour at lunch to work out and then strategized late into the night in their holy war against competitor reebok and adidas to outsider nike wa a cult insider believed they were furthering the company s mission to improve the performance of serious athlete,donald katz,38.0,4.0,0.0,840,3,biography of business leader biography of actor
18,sherlock holmes the definitive collection,now updated to include chapter name information so you can easily find your favourite story or novel,arthur conan doyle,6.0,5.0,3037.0,4317,15,private investigator mystery crime
19,becoming,penguin present the audiobook edition of becoming by michelle obama,michelle obama,13941.0,4.6,1093.0,1143,12,woman biography biography autobiography book
20,the warren buffett way rd edition,warren buffett remains one of the most sought after and watched figure in business today he ha become a billionaire and investment sage by buying chunk of company and holding onto them managing them a business and eventually reaping huge profit for himself and investor in berkshire hathaway the first two edition of the warren buffett way gave investor their first in depth look at the innovative investment and business strategy behind the spectacular success of living legend warren e buffett tracing warren buffett s career from the beginning hagstrom told listener exactly how starting with an initial investment of only buffett built a business empire and ha an estimated net worth of billion the third edition of the warren buffett way will focus on the timeless principle and strategy behind buffett s extraordinary investment success there will be new chapter on the important distinction between investment and trading and an examination of the most successful disciple of warren buffett some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time distilling buffett s success formula in a way that will provide value to listener for decade to come,robert hagstrom,72.0,4.2,1005.0,631,17,business career biography of business leader personal finance
21,lesson for the st century,brought to you by penguin,yuval noah harari,2836.0,4.4,1093.0,701,14,political science history theory united state politics government political theory
22,secret of the millionaire mind mastering the inner game of wealth,secret of the millionaire mind reveals the missing link between wanting success and achieving it,t. harv eker,952.0,4.6,10378.0,310,21,entrepreneurship audible audiobooks original business motivation self improvement investing trading
23,let s talk money you ve worked hard for it now make it work for you,we work hard to earn our money but regardless of how much we earn the money worry never go away bill rent emis medical cost vacation kid education and somewhere at the back of the head the niggling thought about being under prepared for our own retirement,monika halan,419.0,4.4,668.0,356,19,personal finance business economics personal development self help
24,elon musk,brought to you by penguin,ashlee vance,6491.0,4.5,888.0,803,23,biography of science technology leader engineering technology book biography of business leader
25,the monk who sold his ferrari,author robin sharma read this international best seller allowing you to gain the wisdom and lesson from the original book while you commute this abridged audiobook is one of sharma leadership international s all time best selling audio product,robin sharma,7585.0,4.6,351.0,160,22,christianity book spirituality audible audiobooks original spirituality book
26,the power of your subconscious mind,the power of your subconscious mind will open a world of success happiness prosperity and peace for you it is one of the most brilliant and beloved spiritual self help work of all time which can help you heal yourself banish your fear sleep better enjoy better relationship and just feel happier the technique are simple and result come quickly you can improve your relationship your finance your physical well being,joseph murphy,18381.0,4.5,99.0,433,30,new thought spirituality personal success mind
27,can t hurt me master your mind and defy the odds,for david goggins childhood wa a nightmare poverty prejudice and physical abuse colored his day and haunted his night but through self discipline mental toughness and hard work goggins transformed himself from a depressed overweight young man with no future into a u armed force icon and one of the world s top endurance athlete the only man in history to complete elite training a a navy seal army ranger and air force tactical air controller he went on to set record in numerous endurance event inspiring outside magazine to name him the fittest real man in america,david goggins,11336.0,4.8,836.0,817,35,biography memoir audible audiobooks original personal success biography autobiography book
28,the power of habit why we do what we do and how to change,brought to you by penguin,charles duhigg,6733.0,4.5,888.0,653,24,organisational behaviour science personal success
29,harry potter and the philosopher s stone book,turning the envelope over his hand trembling harry saw a purple wax seal bearing a coat of arm a lion an eagle a badger and a snake surrounding a large letter h,j.k. rowling,11978.0,4.7,999.0,573,29,family life fiction for child fantasy magic for child fiction on friendship for child
30,inglorious empire what the british did to india,penguin present the audiobook edition of inglorious empire written and read by shashi tharoor,shashi tharoor,304.0,4.5,752.0,633,33,indian history audible audiobooks original imperialism colonialism post colonialism
31,raavan enemy of aryavarta,without the darkness light ha no purpose,amish tripathi,4483.0,4.5,836.0,692,39,fiction saga epic fantasy fantasy book
32,my gita,in my gita acclaimed mythologist devdutt pattanaik demystifies the bhagavad gita for the contemporary reader his unique approach thematic rather than verse by verse make the ancient treatise eminently accessible,devdutt pattanaik,1244.0,4.2,501.0,375,26,philosophy audible audiobooks original hinduism audible audiobooks original theology philosophy of religion
33,zero to one,what valuable company is nobody building the next bill gate will not build an operating system the next larry page or sergey brin won t make a search engine if you are copying these guy you aren t learning from them it s easier to copy a model than to make something new doing what we already know how to do take the world from to adding more of something familiar,peter thiel,5331.0,4.4,615.0,290,25,business management entrepreneurship audible audiobooks original organisational behaviour
34,limitless upgrade your brain learn anything faster and unlock your exceptional life,an instant new york time best seller and number one wall street journal best seller,jim kwik,2434.0,4.7,750.0,777,36,memory improvement psychology audible audiobooks original personal success
35,the unusual billionaire,what make a company truly outstanding,saurabh mukherjea,288.0,4.4,1005.0,552,20,literary essay biography of business leader essay book
36,chanakya neeti,chanakya wa an indian teacher philosopher and royal advisor he managed the first maurya emperor chandragupta s rise to power at a young age he is widely credited for having played an important role in the establishment of the maurya empire which wa the first empire in archaeologically recorded history to rule most of the indian subcontinent,acharya chanakya,92.0,4.4,668.0,302,28,biography memoir audible audiobooks original biography autobiography book
37,the rudest book ever insanely practical idea to free your mind from all bull t,shwetabh gangwar is a professional problem solver and he s ace at it for the past five year people from all over the world have contacted him with their trouble and he s worked these out for them,shwetabh gangwar,2079.0,4.5,501.0,291,44,self esteem personal success personal development self help
38,start with why how great leader inspire everyone to take action int l edit,why are some people and organization more innovative more influential and more profitable than others why do some command greater loyalty from customer and employee alike even among the successful why are so few able to repeat their success over and over,simon sinek,3858.0,4.5,820.0,432,53,leadership business motivation self improvement entrepreneurship audible audiobooks original
39,never split the difference negotiating a if your life depended on it,brought to you by penguin,chris voss,6521.0,4.7,888.0,487,37,meeting presentation negotiating forecasting strategic planning
40,hyperfocus,our attention ha never been a overwhelmed or in demand a it is today we ve never been so busy while accomplishing so little and we ve grown uncomfortable with boredom and a lack of stimulation and distraction,chris bailey,157.0,4.5,323.0,399,31,time management memory improvement time management productivity
41,the tatas how a family built a business and a nation,winner of the gaja capital business book prize,girish kuber,53.0,4.4,668.0,581,34,biography of business leader biography autobiography book
42,homo deus a brief history of tomorrow,brought to you by penguin,yuval noah harari,5339.0,4.5,1093.0,893,47,future study anthropology audible audiobooks original history audible audiobooks original
